,name,support_color,support_direct,rarity,category,currency,skills,skills_v2,abilities,hitface,sufferface,info,attack,max_hp,defance,speed,critical_rate,critical_damage,effect_hitrate,effect_resistance,elemental_mastery,healing_bonus,shield_strength,fire_damage_bonus,fire_elemental_resistance,light_damage_bonus,light_elemental_resistance,wind_damage_bonus,wind_elemental_resistance,ice_damage_bonus,ice_elemental_resistance,water_damage_bonus,water_elemental_resistance,rock_damage_bonus,rock_elemental_resistance,physical_damage_bonus,physical_elemental_resistance,prime_attribute

szl_role,水之濑凛,purple,left,SSR,human,3000,guard|psychokinesis|szl_combat|szl_passive|szl_breakout,guard|psychokinesis-light|szl_combat|szl_passive|szl_breakout,Brutal|Hunter|Prudent,hit,suffer,擅长使用居合道的剑士，是效力于圣护院主任所属的星天宫研究所分部的灵继者。拥有极强的自信与好胜心，对胜负十分执着,160,928,65,111,0.12,1.5,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,雷元素伤害加成

tyt_role,藤原瞳,yellow,left,R,human,1500,guard|psychokinesis-rock|tyt_combat|tyt_passive|tyt_breakout,,Prudent|Solid|Flexible,hit,suffer,星天宫大神官的孙女，性格随意喜欢吐槽，为了家族荣誉不得以成为巫女的她怀着迷茫的心履行着自己的义务。后因主角团的努力最终拜托了迷茫找回了自己的定位,113,1248,71,116,0.05,1.5,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,岩元素伤害加成

xfe_role,希菲尔,red,right,SR,angel,6000,guard|psychokinesis-fire|xfe_combat|xfe_passive|xfe_breakout,guard|psychokinesis-fire|xfe_combat_1|xfe_passive|xfe_breakout,Soul|Conjurer|Recovery,hit,suffer,天使的季节“冬之妖精篇”登场的天使，天真的外表下有着善良的性格。在神野凉儿时随父亲来到雪见市的时候与其相遇，后因为凉君的离开而将思念化作“温柔的雪”,147,1003,68,115,0.15,1.6,0.0,0.0,20,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,暴击率

xz_role,青木翔子,black,right,SR,human,2000,guard|psychokinesis-water|xz_combat|xz_passive|xz_breakout,,Fortitude|Acrobat|Spiritual,hit,suffer,神野凉的青梅竹马，青木铃音的双胞胎姐姐。自幼体弱多病，在“夏之死神篇”中向流星许愿，与雷亚达成了约定触发量子纠缠的过程中诞生了具有表意识里人格的翔子，和具有潜意识表人格的梦,113,1174,83,100,0.05,1.5,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,治疗加成

ycxt_role,一诚小桃,gray,right,R,human,1000,guard|psychokinesis-ice|ycxt_combat|ycxt_passive|ycxt_breakout,,Solid|Skin|Prudent,hit,suffer,幼儿园的小朋友，性格胆小怕生。从奶奶那里学到了很多“糟糕的”知识，因而经常不自觉地飙起黄段子。渴望与哥哥——一诚总司搞好关系，手中经常抱着玩具布偶,110,1163,78,102,0.08,1.5,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,冰元素伤害加成

yj_role,植澄友加,red,left,SR,human,1500,guard|psychokinesis|yj_combat|yj_passive|yj_breakout,,Fortitude|Adaptive|Reflexes,hit,suffer,男主神野凉的大学同级生，同时也是星天宫研究所圣护院主任的妹妹。性格幽默开朗，非常喜欢跑步，时常一个人穿着体操服在桥下的河滩训练。,145,950,73,109,0.05,1.5,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,水元素伤害加成

migo_tiny_girl,见习巫女,,,R,human,500,guard|psychokinesis_ex,,,hit,suffer,星天宫见习巫女Lv1,127,1067,75,103,0.1,1.5,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,防御力加成
